company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
,Retznei,,,,AT,1.0,Hydro,Run-of-river,,,,1992.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.744338,15.570455
,Rosegg-St. Jakob,,,,AT,80.0,Hydro,Run-of-river,,,,1974.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.569737,14.026774
,Rosenau,,,,AT,34.0,Hydro,Run-of-river,,,,1953.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.992886,14.376871
,Roßhag,,,,AT,231.0,Hydro,Reservoir,,,,1972.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-TZR-KW-----I,47.086876,11.774061
,Salza,,,,AT,8.0,Hydro,Reservoir,,,,1949.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.491345,13.956943
,Schärding-Neuhaus,,,,AT,96.0,Hydro,Run-of-river,,,,1966.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.435486,13.440387
,Schönau,,,,AT,30.0,Hydro,Run-of-river,,,,1972.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.775426,14.650605
,Schwabeck,,,,AT,79.0,Hydro,Run-of-river,,,,1943.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.658193,14.873028
,Schwarzach,,,,AT,120.0,Hydro,Reservoir,,,,1960.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-TKS-KW-----P,47.315375,13.138786
,Sölk,,,,AT,61.0,Hydro,Reservoir,,,,1978.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.433855,13.948905
,Spielfeld,,,,AT,13.0,Hydro,Run-of-river,,,,1982.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.716449,15.62127
,St. Georgen,,,,AT,6.0,Hydro,Run-of-river,,,,1985.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.104453,14.087593
,St. Johann,,,,AT,16.0,Hydro,Run-of-river,,,,1991.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.338685,13.197147
,St. Martin,,,,AT,10.0,Hydro,Reservoir,,,,1965.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.987392,15.091178
,St. Pantaleon,,,,AT,52.0,Hydro,Run-of-river,,,,1966.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.224936,14.53116
,St. Veit,,,,AT,16.0,Hydro,Run-of-river,,,,1989.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.321488,13.174577
,Staning,,,,AT,43.0,Hydro,Run-of-river,,,,1946.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.098607,14.468763
,Steinfeld,,,,AT,1.0,Hydro,Run-of-river,,,,1963.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.760732,13.2476
,Stübing,,,,AT,12.0,Hydro,Run-of-river,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.175225,15.320385
,Talbach,,,,AT,1.0,Hydro,Run-of-river,,,,1897.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.39026,13.685191
,Teigitschmühle,,,,AT,1.0,Hydro,Run-of-river,,,,1926.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.021513,15.166537
,Ternberg,,,,AT,40.0,Hydro,Run-of-river,,,,1949.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.941095,14.35266
,Triebenbach,,,,AT,10.0,Hydro,Run-of-river,,,,1995.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.492176,14.472268
,Tuxbach,,,,AT,1.0,Hydro,Run-of-river,,,,1930.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.151436,11.832163
,Unterer Tuxbach – Kleinkraftwerk Stillupp,,,,AT,2.0,Hydro,Run-of-river,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.120332,11.865024
,Urreiting,,,,AT,16.0,Hydro,Run-of-river,,,,1986.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.374752,13.210196
,Villach,,,,AT,25.0,Hydro,Run-of-river,,,,1984.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.632859,13.829237
,Vordernberg,,,,AT,1.0,Hydro,Run-of-river,,,,1987.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.495437,14.99248
,Wallnerau Salzachstufe,,,,AT,13.0,Hydro,Run-of-river,,,,1990.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.31608,13.140994
,Wallnerau Unterwasserstufe,,,,AT,5.0,Hydro,Run-of-river,,,,1989.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.315609,13.140893
,Wallsee-Mitterkirchen,,,,AT,210.0,Hydro,Run-of-river,,,,1969.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BWM-KW-----L,48.166415,14.695103
,Weinzödl,,,,AT,16.0,Hydro,Run-of-river,,,,1982.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.108388,15.392094
,Weissenegg,,,,AT,1.0,Hydro,Run-of-river,,,,1985.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.912548,15.486664
,Werfen-Pfarrwerfen,,,,AT,16.0,Hydro,Run-of-river,,,,2009.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.472081,13.193148
,Weyer,,,,AT,37.0,Hydro,Run-of-river,,,,1969.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
,Wien-Freudenau,,,,AT,172.0,Hydro,Run-of-river,,,,1999.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BFR-KW-----A,48.176872,16.481754
,Ybbs 2020 - Turbinenerneuerung,,,,AT,18.0,Hydro,Run-of-river,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BYP-KW-----6,48.189357,15.067755
,Ybbs-Persenbeug,,,,AT,236.0,Hydro,Run-of-river,,,,1960.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BYP-KW-----6,48.189357,15.067755
