Vannkraftverk

Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1802;Bestul;Pumpe;LØVENSKIOLD-FOSSUM KRAFT AS;994200682;Vestfold og Telemark;38;Skien;07;2015-02-02;2015-02-02;-0,71;-2,8;;1,5;-0,131;2;016.ADAZ;
22;Bingsfoss;Kraftverk;GLOMMA KRAFTPRODUKSJON AS;987287608;Viken;30;Lillestrøm;30;1977-06-15;1977-06-15;32,5;199,7972;5;820;0,011;1;002.D4;
1917;Birkedal;Kraftverk;BØSTRAND AUTOMASKIN;892540322;Møre og Romsdal;15;Vanylven;11;2017-12-20;2017-12-20;0,055;0,1;93;0,079;0,193;3;092.A;
983;Birkås;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Høyanger;38;2006-08-24;2006-08-24;0,71;2,84;;;;3;080.22D;
994;Biskopstien;Kraftverk;;;Rogaland;11;Lund;12;1999-01-01;1999-01-01;0,04;0,2;;;;2;026.BB;
23;Bjelland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Agder;42;Lindesnes;05;1974-01-01;1974-01-01;55;346,9117;84,3;80,18;0,194;2;022.C4;
1626;Bjelland II;Kraftverk;BJELLAND & MUSLAND KRAFT AS;892065152;Rogaland;11;Tysvær;46;2011-11-02;2011-11-02;0,71;2,6;165;0,61;0,323;2;039.12;
1011;Bjergaelva;Kraftverk;BJERGAELVA KRAFT AS;880419552;Rogaland;11;Suldal;34;2004-01-01;2004-01-01;0,65;4;;;;2;036.32;
24;Bjerka;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Hemnes;32;1972-01-01;1972-01-01;20;136,9323;357;6,59;0,842;4;155.AC0;
898;Bjordal;Kraftverk;JENS DOMINICUS NAGELL BJORDAL;985035652;Rogaland;11;Vindafjord;60;2004-11-18;2004-11-18;0,099;0,6;;;;2;041.21Z;
1498;Bjordal II;Kraftverk;JENS DOMINICUS NAGELL BJORDAL;985035652;Rogaland;11;Vindafjord;60;2009-06-15;2009-06-15;0,14;0,546;;;;2;041.21Z;
25;Bjordalen;Kraftverk;SKAGERAK KRAFT AS;979563531;Vestfold og Telemark;38;Hjartdal;19;1960-09-02;1960-09-02;2,9;7,6763;56,5;9,3;0,087;2;016.EDZ;
881;Bjordøla;Kraftverk;NORDBØ OLAV S;970260196;Vestfold og Telemark;38;Hjartdal;19;2005-04-11;2005-04-11;0,132;0,33;25;0,7;0,052;2;016.EDC;
1260;Bjoråi;Kraftverk;;;Vestfold og Telemark;38;Fyresdal;23;2005-01-01;2005-01-01;0,028;0,175;;;;2;019.DCC;
26;Bjølvo;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestland;46;Kvam;22;2003-01-01;2003-01-01;99,2;428,218;870;13;2,11;5;052.4Z;
27;Bjørdal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;1931-01-01;1931-01-01;4,3;27,76;291;1,9;0,629;3;095.E;
1540;Bjørgjo;Kraftverk;KAMBO ENERGI AS;992529970;Vestland;46;Etne;11;2009-06-11;2009-06-11;0,6;2;348,5;0,2;;2;041.41A0;
814;Bjørgum;Kraftverk;SMÅKRAFT AS;984616155;Agder;42;Valle;21;2004-09-01;2004-09-01;5,495;17,561;295;2,3;0,663;2;021.E5A;
1250;Bjørheimsbygd;Kraftverk;BJØRHEIMSBYGD KRAFTVERK AS;988357537;Rogaland;11;Strand;30;2006-02-17;2006-02-17;0,9;3,6;176;;;2;032.4A5;
28;Bjørkåsen;Kraftverk;BALLANGEN ENERGI AS;971592117;Nordland;18;Narvik;06;1921-01-01;1987-09-20;3,68;21,6586;82,5;6,2;0,175;4;173.3Z;
1367;Bjørndalen;Kraftverk;SFE PRODUKSJON AS;984882106;Vestland;46;Bremanger;48;2006-06-15;2006-06-15;4,95;27;101,6;5,5;0,25;3;086.7C;
1242;Bjørndalselva;Kraftverk;BJØRNDALEN KRAFT AS;988456632;Vestland;46;Sunnfjord;47;2006-06-15;2006-06-15;5,3;17,4;327;1,92;0,752;3;084.E31;
1166;Bjørnebykverna;Kraftverk;SOLØR MILJØ KRAFT AS;894678852;Innlandet;34;Åsnes;18;2000-01-01;2000-01-01;0,09;0,45;8;;;1;002.H1A0;
1854;Bjørnstokk;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;2017-07-06;2017-07-06;8,2;24,8;264,2;3,7;0,616;4;144.721Z;
979;Bjørsvik;Kraftverk;NORWEGIAN PRESERVING KRAFTVERK AS;923233539;Vestland;46;Alver;31;1952-01-01;1952-01-01;0,495;1,5;;;;5;064.6;
1115;Bjøråa;Kraftverk;NILS AUN OKSTAD;870418752;Trøndelag;50;Høylandet;46;1999-01-01;1999-01-01;0,025;0,02;71;0,06;0,116;4;142.32Z;
1190;Bjøråa;Kraftverk;HANS JOHAN AARNES;979259492;Møre og Romsdal;15;Surnadal;66;1997-01-01;1997-01-01;0,036;0,27;;;;3;112.3A2;
1915;Bjåstad;Kraftverk;FJÆRLAND KRAFT AS;916498721;Vestland;46;Sogndal;40;2018-03-22;2018-03-22;5,19;14,4;385,83;1,68;0,858;5;078.21Z;
1351;Blikraåna;Kraftverk;BLIKRAÅNA KRAFTVERK AS;889506822;Rogaland;11;Vindafjord;60;2006-09-27;2006-09-27;0,25;0,85;235;0,08;;2;038.5B;
1078;Blikåsbekken;Kraftverk;;;Trøndelag;50;Indre Fosen;54;2000-01-01;2000-01-01;0,004;0,016;;;;3;131.9B;
2004;Blokken;Kraftverk;BLOKKEN SKIPSVERFT AS;984251629;Nordland;18;Sortland %u2013 Suortá;70;1917-01-01;1917-01-01;0,12;0,5;10;1,16;0,029;4;178.43A;
1454;Blådalselva;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Masfjorden;34;2010-09-27;2010-09-27;2,66;6,4;247;1,3;0,568;5;065.7Z;
31;Blåfalli III H;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;1968-01-01;1968-01-01;100;416,4952;320;38;0,731;2;042.B2;
32;Blåfalli III L;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;1976-01-01;1976-01-01;5;19,3727;57;9,02;0,153;2;042.B2;
33;Blåfalli IV;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;1981-12-15;1981-12-15;13;66,941;150;10;0,361;2;042.E21;
781;Blåfalli V;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;2002-01-01;2002-01-01;8,1;26,572;56;17,3;0,13;2;042.F;
1334;Blåfalli Vik;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Kvinnherad;17;2007-05-01;2007-05-01;230;712,3;374,8;70;0,938;2;042.7B;
1281;Blålid;Kraftverk;BLÅLID KRAFT AS;989362402;Vestland;46;Bremanger;48;2007-03-28;2007-03-28;0,565;2,2;95;0,75;0,209;3;086.320;
