Vannkraftverk

Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1211;Styggtjønna;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Orkland;59;2003-01-01;2003-01-01;0,045;0,24;;;;3;121.B2B;
406;Stølsdal;Kraftverk;STATKRAFT ENERGI AS;987059729;Rogaland;11;Hjelmeland;33;1986-05-03;1986-05-03;17;62,6539;95;21,45;0,219;2;035.4AB;
407;Stølsdal;Pumpe;STATKRAFT ENERGI AS;987059729;Rogaland;11;Hjelmeland;33;1985-01-01;1985-01-01;-6;-8,9651;0;3,5;-0,476;2;035.4AB;
1457;Stølsdalselva;Kraftverk;STØLSDALSELVA KRAFTVERK AS;990346712;Vestland;46;Ullensvang;18;2009-07-10;2009-07-10;7,5;21;192;4,7;0,443;5;047.2AZ;
797;Stølskraft;Kraftverk;STØLSKRAFT AS;984016336;Rogaland;11;Bjerkreim;14;2003-03-21;2003-03-21;1,34;9;106;1,21;0,275;2;027.D6B;
1370;Stølslia;Kraftverk;STØLSLIA KRAFT AS;889544422;Vestland;46;Sunnfjord;47;2007-03-19;2007-03-19;1,5;5,1;140;1,39;0,3;3;084.C;
408;Suldal I;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Rogaland;11;Suldal;34;1965-01-01;1965-01-01;180;1104,9;306;70;0,714;2;036.B9;
409;Suldal II;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Rogaland;11;Suldal;34;1967-01-01;1967-01-01;150;771,5302;559;31,48;1,322;2;036.B9;
1230;Sundal;Kraftverk;SUNDAL KRAFTVERK AS;988432466;Møre og Romsdal;15;Volda;77;2006-11-29;2006-11-29;4,2;16;270;1,88;0,617;3;094.4A1Z;
763;Sundfossen;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Steinkjer;06;1998-07-15;1998-07-15;2,2;13,4051;4,4;60;0,01;3;128.B6;
1814;Sundli;Kraftverk;SUNDLIKRAFT AS;995081881;Trøndelag;50;Orkland;59;2015-02-04;2015-02-04;1,35;5,3;207,5;0,846;0,443;3;121.A21Z;
410;Sundsbarm;Kraftverk;SKAGERAK KRAFT AS;979563531;Vestfold og Telemark;38;Seljord;20;1970-11-01;1970-11-01;111;478,2516;480;27;1,141;2;016.CC2;
411;Sundsfjord;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Gildeskål;38;1961-02-01;1961-02-01;96;561,6896;328,39;34,59;0,771;4;161.2Z;
1257;Suvdal (Buvasselva);Kraftverk;DRANGEDAL EVERK KF;971028440;Vestfold og Telemark;38;Drangedal;15;2004-01-01;2004-01-01;1,35;5;97,2;1,7;0,221;2;017.FA0;
1256;Suvdal (Kleppsvatn);Kraftverk;DRANGEDAL EVERK KF;971028440;Vestfold og Telemark;38;Drangedal;15;2004-01-01;2004-01-01;1,5;5;101,8;1,7;0,229;2;017.FA0;
759;Svabo;Kraftverk;MO INDUSTRIPARK AS;914780152;Nordland;18;Rana;33;1996-05-23;1996-05-23;3,2;22,1718;105;3,5;0,254;4;156.3Z;
413;Svandalsflona;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestland;46;Ullensvang;18;1977-01-01;1977-01-01;20;42,2495;200;11;0,504;2;036.FB;
996;Svanedal;Kraftverk;DESCONDA AS;975966798;Rogaland;11;Eigersund;01;2003-01-01;2003-01-01;0,4;1,6;9;5;0,022;2;027.31;
1291;Svanedal i Gjesdal;Kraftverk;;;Rogaland;11;Gjesdal;22;1996-01-01;1996-01-01;0,45;2,3;;;;2;030.1C;
1908;Svardøla;Kraftverk;SVARDØLA KRAFT AS;915148301;Vestland;46;Luster;44;2018-12-20;2018-12-20;9,2;30;397;2,84;0,9;5;077.D;
1223;Svartdalen;Kraftverk;SVARTDALEN KRAFT AS;883459342;Vestland;46;Masfjorden;34;2006-02-08;2006-02-08;7,5;25;380,5;2,3;0,906;5;067.1Z;
414;Svartelva;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Indre Fosen;54;1959-12-19;1959-12-19;15,5;63,8;107,9;16,6;0,26;3;132.AB;
1356;Svartevatn;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Bodø;04;2008-03-01;2008-03-01;0,759;3;46,73;1,9;0,117;4;162.62B;
542;Svartisen;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Meløy;37;1993-05-15;1993-05-15;600;2466,146;543;120;1,389;4;159.8Z;
785;Svartkulp;Kraftverk;Aktieselskabet Saudefaldene;915729290;Rogaland;11;Sauda;35;2001-11-01;2001-11-01;3,9;21,567;;10,5;0,103;2;037.BD5;
1663;Svarttjern;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Viken;30;Lier;49;2008-03-05;2008-03-05;0,135;1;100;0,2;0,188;1;011.A0;
1267;Svartvasselva;Kraftverk;UNIKRAFT AS;988368768;Nordland;18;Grane;25;2006-05-15;2006-05-15;0,898;4,2;;;;4;151.D2B;
1609;Svartvatn;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;2012-11-27;2012-11-27;1,79;5,5;53;4;0,124;4;148.31A3;
1176;Svatsum 1;Kraftverk;SVATSUM ELEKTRISITETSVERK AS;916452705;Innlandet;34;Gausdal;41;1915-01-01;1915-01-01;0,9;4;;;;1;002.DDFA;
1468;Svatsum 2;Kraftverk;SVATSUM ELEKTRISITETSVERK AS;916452705;Innlandet;34;Gausdal;41;2009-09-16;2009-09-16;1,7;8;288;0,778;0,661;1;002.DDFA;
415;Svean;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim ;01;1940-01-01;1940-01-01;27;109,9968;56;75;0,1;3;123.A81;
416;Svelgen I;Kraftverk;SVELGEN KRAFT AS;986530649;Vestland;46;Bremanger;48;1921-01-01;1921-01-01;9,1;52,6506;223;5;0,506;3;086.2Z;
417;Svelgen II;Kraftverk;SVELGEN KRAFT AS;986530649;Vestland;46;Bremanger;48;1958-01-01;1958-01-01;29;191,1448;480;7,5;1,074;3;086.21A;
183;Svelgen III;Kraftverk;SVELGEN KRAFT AS;986530649;Vestland;46;Bremanger;48;1963-01-01;1963-01-01;22;113,0012;480;6,4;1,172;3;086.1B1;
418;Svelgen IV;Kraftverk;SVELGEN KRAFT AS;986530649;Vestland;46;Bremanger;48;1973-01-01;1973-01-01;50;278,237;360;16;0,867;3;086.21A;
419;Svelgfoss;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestfold og Telemark;38;Notodden;08;1958-01-01;1958-01-01;92;424,0959;69;170;0,151;2;016.F2;
420;Sviland;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Sandnes;08;1908-01-01;1998-08-19;2;11,2323;76;4;0,153;2;029.2D1;
421;Svorka;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Surnadal;66;1963-04-04;1963-04-04;22;105,2788;259;10,5;0,582;3;112.3A1;
422;Svorkmo;Kraftverk;KRAFTVERKENE I ORKLA DA;947576283;Trøndelag;50;Orkland;59;1983-07-01;1983-07-01;55;344,9091;96;69,12;0,221;3;121.A42;
871;Sværa;Kraftverk;;;Vestland;46;Luster;44;2003-01-01;2003-01-01;0,019;0,14;;;;5;075.4Z;
1568;Sværen;Kraftverk;SFE PRODUKSJON AS;984882106;Vestland;46;Sogndal;40;2010-05-26;2010-05-26;3,2;9,6;242;1,5;0,593;5;078.6Z;
1578;Sya;Kraftverk;SYA KRAFT AS;993088234;Trøndelag;50;Orkland;59;2009-12-14;2009-12-14;1,2;4,9;193,4;0,78;0,427;3;121.B31;
1436;Sylsjø;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Tydal;33;2008-01-01;2008-01-01;3,3;8;;20;0,046;3;123.H5;
1494;Syrifossen;Kraftverk;SYRIKRAFT AS;991730516;Vestland;46;Voss;21;2010-04-14;2010-04-14;2,84;9;113,3;3;0,263;5;062.E2Z;
423;Sy-Sima;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestland;46;Eidfjord;19;1981-09-15;1981-09-15;620;2158,191;905;80;2,153;5;050.4AZ;
1693;Syversætre Foss;Kraftverk;SYVERSÆTRE FOSS KRAFTVERK AS;995673479;Innlandet;34;Åsnes;18;2012-04-17;2012-04-17;2,5;10,5;7;46;0,015;1;002.GA1;
1109;Sæterstad;Kraftverk;KASTNES KNUT;970565140;Nordland;18;Hattfjelldal;26;2004-01-01;2004-01-01;0,035;0,128;;;;4;155.D8;
1173;Sæteråa;Kraftverk;;;Innlandet;34;Åsnes;18;1998-01-01;1998-01-01;0,032;0,1;;;;1;002.G7;
1091;Sætra;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vågan;65;1948-01-01;1948-01-01;0,7;2,3;;;;4;179.41C2;
1217;Sævareid;Kraftverk;SÆVAREID KRAFT AS;986847707;Vestland;46;Bjørnafjorden;24;2006-01-11;2006-01-11;0,8;3,8;11,5;8;0,278;2;053.A;
424;Søa;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Heim;55;1967-11-10;1967-11-10;37;207,4527;273,2;16;0,625;3;119.1Z;
1477;Søberg;Kraftverk;SMÅKRAFT AS;984616155;Nordland;18;Bindal;11;2011-06-06;2011-06-06;5,2;16;183,5;3,4;0,442;4;145.2C;
1178;Søfferud;Kraftverk;;;Innlandet;34;Søndre Land;47;1914-01-01;1944-01-01;0,02;0,1;120;;;1;012.EC40;
1916;Søkkunda;Kraftverk;SØKKUNDA KRAFTVERK AS;915099807;Innlandet;34;Stor-Elvdal;23;2017-12-20;2017-12-20;9;25;239;5,1;0,49;1;002.K6A32;
1444;Sølbergfallet;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Orkland;59;1900-01-01;1900-01-01;0,3;1,5;;;;3;121.1A;
1810;Sølia;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Fjaler;46;2016-06-01;2016-06-01;1,96;6,3;63;3,83;0,139;3;082.5C;
1883;Sølna;Kraftverk;ØSTERDALEN KRAFTPRODUKSJON AS;980343235;Innlandet;34;Alvdal;28;2016-08-31;2016-08-31;5,35;15,7;63,5;10;0,149;1;002.MAA20;
1422;Sønnå H;Kraftverk;Aktieselskabet Saudefaldene;915729290;Rogaland;11;Sauda;35;2008-07-11;2008-07-11;212,4;1029,568;550;42;1,405;2;037.B;
1421;Sønnå L;Kraftverk;Aktieselskabet Saudefaldene;915729290;Rogaland;11;Sauda;35;2008-07-11;2008-07-11;62,5;381,017;253;27,5;0,629;2;037.B;
1613;Sønsteby;Kraftverk;MODUM KRAFTPRODUKSJON KF;971030674;Viken;30;Modum;47;2010-12-02;2010-12-02;0,1;0,6;197,2;0,06;0,463;1;012.D31;
425;Sørbrandal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Vanylven;11;1951-01-01;1951-01-01;9,5;41,76;369;2,3;0,882;3;093.1Z;
1505;Sørdalen;Kraftverk;SØRDALEN KRAFT AS;987068671;Vestland;46;Tysnes;16;2009-12-10;2009-12-10;0,55;1,9;132;0,557;0,274;2;054.6C;
1322;Sørdalselva;Kraftverk;SØRDALSKRAFT AS;987393971;Vestland;46;Vaksdal;28;2008-02-09;2008-02-09;1,15;3,5;;3,1;;5;063.A5Z;
1860;Sørdalselva;Kraftverk;SMÅKRAFT AS;984616155;Møre og Romsdal;15;Vanylven;11;2017-04-21;2017-04-21;2,7;7,64;181,67;1,74;0,431;3;093.2BZ;
427;Sørfjord I;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Hamarøy;75;1983-01-15;1983-01-15;75;304,2485;486;16;1,146;4;171.72Z;
428;Sørfjord II;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Hamarøy;75;1983-01-01;1983-01-01;4;12,9335;60,5;8,1;0,136;4;171.7AB;
851;Sørfjordkraft;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms og Finnmark Romsa ja Finnmárku;54;Dyrøy;20;1988-01-01;1988-01-01;0,7;3;;;;4;193.12Z;
594;Sør-Forså;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms og Finnmark Romsa ja Finnmárku;54;Ibestad;13;1985-01-27;1985-01-27;1,1;6,4573;155;0,8;0,381;4;188.23Z;
993;Sørmeland;Kraftverk;;;Trøndelag;50;Osen;20;2003-01-01;2003-01-01;0,0075;0,02;;;;3;137.2A1;
1261;Søråi (Momrak);Kraftverk;;;Vestfold og Telemark;38;Fyresdal;23;2000-01-01;2000-01-01;0,035;0,1;;;;2;019.DB1;
1938;Søråni;Kraftverk;SØRÅNI KRAFT AS;918196986;Agder;42;Bygland;20;2019-09-27;2019-09-27;7,7;19,9;235;4;0,535;2;021.D5B;
1073;Søtvik;Kraftverk;;;Trøndelag;50;Ørland;57;2005-01-01;2005-01-01;0,09;0,2;;;;3;133.32A;
429;Såheim;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestfold og Telemark;38;Tinn;18;1915-01-01;1915-01-01;189;881,7369;273;76,4;0,686;2;016.H4;
430;Tafjord 1;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1923-01-01;1989-06-19;25;68,2776;157;20,3;0,342;3;099.A;
431;Tafjord 2;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1952-01-31;1952-01-31;29,5;150,5448;390;9,3;0,911;3;099.C;
432;Tafjord 3;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1958-09-16;1958-09-16;22;90,9324;329;8;0,764;3;099.D222;
433;Tafjord 4;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1968-11-21;1968-11-21;110;519,1812;430;29,98;1,019;3;099.A;
434;Tafjord 5;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1982-01-28;1982-01-28;82,7;418,3032;822,29;12,8;1,795;3;099.B2B12;
736;Tafjord 6;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1994-08-21;1994-08-21;1,8;5,22;36;5,38;0,093;3;002.DHHE;
1222;Tafjord 7 (Fagerbotnvatn);Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;2006-09-15;2006-09-15;1,1;3,9;225;0,6;0,509;3;099.D2;
1221;Tafjord 7 (Fetvatn);Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;2006-09-01;2006-09-01;2,15;8,2;127,7;2,2;0,272;3;099.D2;
1750;Tafjord 8;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;2013-10-10;2013-10-10;2,8;11,3;84,1;4,2;0,185;3;099.F4;
1339;Takle;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Gulen;35;2000-02-25;2000-02-25;0,99;5,6;225;0,5;0,556;5;069.2Z;
1075;Tapstad;Kraftverk;TAPSTAD KRAFTVERK Jantti;987561858;Nordland;18;Bodø;04;2005-10-19;2005-10-19;0,09;0,66;;;;4;162.8;
435;Taraldsvik;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Narvik;06;1986-01-01;1986-01-01;1,5;10,778;425;0,4;1,042;4;174.311Z;
1533;Teitafossen;Kraftverk;TEITAFOSSEN KRAFT AS;989958615;Vestland;46;Gloppen;50;2009-07-10;2009-07-10;0,89;4,6;7,75;15,5;0,016;3;087.D21;
437;Teksdal;Kraftverk;FOSENKRAFT ENERGI AS;883152212;Trøndelag;50;Ørland;57;1943-03-01;1943-03-01;2,5;13,6949;42;8,36;0,082;3;134.A;
1022;Tendeland;Kraftverk;;;Rogaland;11;Tysvær;46;1995-01-01;1995-01-01;0,022;0,08;;;;2;039.12;
1952;Tenneelva;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Vanylven;11;2018-12-20;2018-12-20;3,4;10,3;403,9;0,97;0,974;3;093.3A6;
438;Tennesvatn;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Moskenes;74;1937-01-01;1937-01-01;1,5;4,4138;238;0,8;0,521;4;181.4Z;
1925;Tesgjolo;Kraftverk;TESGJOLO KRAFT AS;917737258;Vestland;46;Voss;21;2018-01-25;2018-01-25;0,99;5,6;189,3;0,67;0,41;5;062.E1Z;
1650;Tesra;Kraftverk;TESRA KRAFT SA;894349042;Møre og Romsdal;15;Vanylven;11;2011-09-12;2011-09-12;0,22;0,7;175;;;3;093.11Z;
620;Tevla;Pumpekraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Meråker;34;1994-04-19;1994-04-19;49,6;106,7417;164,5;34;0,404;3;124.F410;
1632;Thue;Kraftverk;KNUT U, THUE;970322167;Vestland;46;Sogndal;40;2011-09-15;2011-09-15;0,075;0,15;95;0,12;0,174;5;079.21;
1922;Timbra;Kraftverk;NYDALSELVA KRAFT AS;893040412;Vestland;46;Gloppen;50;2018-05-01;2018-05-01;2,9;9,5;355;0,96;0,839;3;087.CB2B;
439;Tinfos I;Kraftverk;TINFOS AS;916763476;Vestfold og Telemark;38;Notodden;08;1955-01-01;1955-01-01;41;190,9641;29,2;160;0,071;2;016.F2;
1431;Tinfos II;Kraftverk;TINFOS AS;916763476;Vestfold og Telemark;38;Notodden;08;1912-01-01;1912-01-01;3,5;10;29;15;0,065;2;016.F2;
1399;Tinnkraft;Kraftverk;TINNKRAFT AS;990930716;Vestfold og Telemark;38;Tinn;18;2008-05-18;2008-05-18;2,9;8;;;;2;016.G52Z;
1605;Tisjøen;Kraftverk;EIDSVOLL KOMMUNE;964950113;Viken;30;Eidsvoll;35;2009-08-17;2009-08-17;0,075;0,5;;;;1;002.DB2B;
1792;Tisleifjord;Kraftverk;SKAGERAK KRAFT AS;979563531;Innlandet;34;Nord-Aurdal;51;2014-10-24;2014-10-24;1,65;6,5;10,31;17;0,027;5;012.JB5;
441;Tistedalsfoss;Kraftverk;HALDEN KRAFTPRODUKSJON AS;887287562;Viken;30;Halden;01;1955-11-15;1955-11-15;20;107,575;66,09;36,08;0,153;1;001.A5;
442;Tjodan;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Sandnes;08;1984-12-13;1984-12-13;110;347,07;885,5;15;2,036;2;031.A0;
443;Tjodanpollen;Pumpe;LYSE PRODUKSJON AS;980335216;Rogaland;11;Sandnes;08;1985-01-01;1985-01-01;-3,5;-9,4804;0;2,4;-0,405;2;031.B0;
755;Tjønna;Pumpe;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1995-01-01;1995-01-01;-0,2;-0,4189;0;0,5;-0,079;3;099.B2B1C5;
444;Tjønnefoss;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vestfold og Telemark;38;Nissedal;22;1966-01-01;1966-01-01;6;39,8542;17,7;39,68;0,042;2;019.E4;
445;Tjørhom;Kraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Agder;42;Sirdal;28;1973-07-06;1973-07-06;120;582,7993;158;90,08;0,37;2;026.H2;
1557;Tjørn I;Kraftverk;KNUT ESPENES;969797445;Rogaland;11;Sokndal;11;2011-01-08;2011-01-08;0,155;0,8;89;0,185;0,233;2;026.4BC0;
1737;Tjørn II;Kraftverk;KNUT ESPENES;969797445;Rogaland;11;Sokndal;11;2011-01-08;2011-01-08;0,045;0,25;90;0,065;0,192;2;026.4BC0;
1254;Tjøstheim;Kraftverk;TJØSTHEIM KRAFT AS;986919708;Rogaland;11;Suldal;34;2005-11-25;2005-11-25;4,16;12;405;1,2;0,963;2;036.A3;
1476;Tjøtaelva;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Gloppen;50;2011-05-13;2011-05-13;2,3;8,11;380;0,7;0,913;3;086.9;
1977;Todøla;Kraftverk;TODØLA KRAFTVERK AS;918335838;Viken;30;Nesbyen;40;2019-06-10;2019-06-10;3,2;8,3;70;6,3;0,141;5;012.CC7A2;
446;Tokke;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestfold og Telemark;38;Tokke;24;1961-08-22;1961-08-22;430;2327,743;393,5;128,02;0,933;2;016.BD32;
447;Toklev;Kraftverk;SKAGERAK KRAFT AS;979563531;Vestfold og Telemark;38;Siljan;12;1921-01-01;1921-01-01;4,8;13,5579;80,59;7,82;0,135;2;015.4G;
448;Tonstad;Kraftverk;SIRA KVINA KRAFTSELSKAP;954090493;Agder;42;Sirdal;28;1968-06-26;1968-06-26;960;4357,37;442;253,24;1,052;2;026.D32;
1150;Tore Holmen;Kraftverk;;;Nordland;18;Hamarøy;75;1998-01-01;1998-01-01;0,004;0,016;;;;4;170.72;
987;Torjul;Kraftverk;SØRHEIM KRISTIN MARIE;970568506;Møre og Romsdal;15;Tingvoll;60;1995-01-01;1995-01-01;0,036;0,24;;;;3;111.31Z;
558;Torpa;Kraftverk;E-CO ENERGI AS;976894677;Innlandet;34;Nordre Land;48;1989-12-14;1989-12-14;150;338,1831;470;39;1,067;1;012.EDB2;
1624;Torsnes;Kraftverk;NORDIC POWER TORSNES AS;993843865;Vestland;46;Ullensvang;18;2013-09-18;2013-09-18;9,1;23;283,8;3,7;0,683;5;047.1Z;
1683;Torvikelva;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Stad;49;2012-09-04;2012-09-04;1,237;4,26;105,4;1,61;0,213;3;089.421Z;
1857;Tosdalen;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;2017-02-09;2017-02-09;19,3;40,5;531,37;4,2;1,276;4;144.7B;
1775;Tossevikelva;Kraftverk;SMÅKRAFT AS;984616155;Viken;30;Ringerike;07;2014-10-03;2014-10-03;2,6;7,1;307;1;0,722;1;012.G21;
436;Tou;Kraftverk;SMÅKRAFT AS;984616155;Rogaland;11;Strand;30;1987-09-16;1987-09-16;1,1;5,1524;13,5;9,55;0,032;2;032.4Z;
449;Toverud;Kraftverk;HADELAND KRAFTPRODUKSJON AS;976465792;Innlandet;34;Gran;46;1915-01-01;1915-01-01;6;13,8805;230,1;3,09;0,537;1;012.EB42;
1238;Trandal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;2005-12-20;2005-12-20;8;26,1;442;2;0,972;3;097.5Z;
1947;Traudalen;Kraftverk;TRAUDALEN KRAFTVERK AS;997011902;Vestland;46;Gloppen;50;2018-11-21;2018-11-21;0,99;7;226;0,55;0,5;3;087.1B;
1295;Tredal;Kraftverk;LANDE EIENDOM INVEST AS;983788238;Agder;42;Lindesnes;05;2007-02-27;2007-02-27;0,8;2,5;50;2;0,111;2;023.A1B;
451;Trengereid;Kraftverk;BKK PRODUKSJON AS;876944642;Vestland;46;Bergen;01;1996-06-14;1996-06-14;3,5;18,9712;388;1;0,972;5;061.3Z;
1053;Trodla-Tysdal;Kraftverk;;;Rogaland;11;Hjelmeland;33;1990-01-01;1990-01-01;0,015;0,06;5;0,3;;2;033.AC10;
1237;Trollelva;Kraftverk;VALAKER KRAFT AS;987903805;Vestland;46;Stryn;51;2006-04-06;2006-04-06;1,25;4,8;330;0,5;0,722;3;087.4Z;
452;Trollfjord I;Kraftverk;TROLLFJORD KRAFT AS;917983585;Nordland;18;Hadsel;66;1952-01-01;2002-12-01;3,2;13,4;178;2,1;0,423;4;179.2121Z;
453;Trollfjord II;Kraftverk;TROLLFJORD KRAFT AS;917983585;Nordland;18;Hadsel;66;1956-01-01;1956-01-01;1,3999;4,1059;450;0,4;0,972;4;179.211Z;
454;Trollheim;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Surnadal;66;1968-09-27;1968-09-27;126,6;893,0372;400;38;0,938;3;112.B0;
1035;Trollkraft;Kraftverk;TROLLKRAFT AS;882404102;Vestfold og Telemark;38;Vinje;25;2001-01-01;2001-01-01;0,18;0,7;;;;2;016.BEC6;
1858;Tronstad;Kraftverk;MYKLEBY MASKIN AS;950311916;Viken;30;Lier;49;2012-10-18;2012-10-18;1,26;6,5;106;1,4;0,25;1;011.0;
1959;Trontveitåna;Kraftverk;VEST-TELEMARK KRAFTLAG AS;955996836;Vestfold og Telemark;38;Nissedal;22;2019-05-08;2019-05-08;1,24;3,7;194;0,781;0,441;2;019.F211;
455;Tryland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Agder;42;Lindesnes;05;1921-02-02;1921-02-02;5,4;30,073;133;4,75;0,259;2;023.B21;
456;Trysilfossen;Kraftverk;GLOPPEN ENERGI AS;993039330;Vestland;46;Gloppen;50;1980-01-01;1980-01-01;3,2;21,6429;11,5;32,91;0,027;3;087.A3;
450;Trælandsfos;Kraftverk;TRÆLANDSFOS AS;916910363;Agder;42;Kvinesdal;27;1917-06-30;1917-06-30;10;31,11;25,7;45;0,062;2;025.B22;
1451;Tua;Kraftverk;SMÅKRAFT AS;984616155;Trøndelag;50;Steinkjer;06;2010-04-20;2010-04-20;1,8;4,9;132;1,55;0,323;3;129.5Z;
1644;Tuddal;Kraftverk;TUDDAL KRAFT AS;996205126;Vestfold og Telemark;38;Hjartdal;19;2011-10-19;2011-10-19;1,599;4,5;248;;;2;016.EAC10;
457;Tunnsjø;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Lierne;42;1963-09-11;1963-09-11;30,4;145,7569;60;60,75;0,138;4;139.DC4;
458;Tunnsjødal;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Namsskogan;44;1963-08-08;1963-08-08;176;813,1179;237,5;89,9;0,544;4;139.D5A0;
459;Tunnsjøfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Raarvikhe %u2013 Røyrvik;43;1986-10-10;1986-10-10;8,5;30,1116;8,1;124,26;0,018;4;139.DC10;
461;Tussa;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Volda;77;1961-01-01;1961-01-01;64;272,3;646;11;1,616;3;097.3Z;
462;Tveit;Kraftverk;SUNNFJORD ENERGI AS;916501420;Vestland;46;Hyllestad;37;1982-07-01;1982-07-01;0,95;7,3876;386;0,325;0,812;3;080.41Z;
884;Tveit;Kraftverk;KÅRE DAGFINN NATLAND SOLTVEIT;969497239;Rogaland;11;Suldal;34;1997-01-01;1997-01-01;0,36;1,3;;;;2;035.7AA;
771;Tveitafoss;Kraftverk;HARDANGER ENERGI AS;983502601;Vestland;46;Eidfjord;19;1946-01-01;1946-01-01;1,7;7,1783;62;2,7;0,175;5;050.B;
1446;Tveitaskar;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Bjørnafjorden;24;2009-11-03;2009-11-03;4,2;10;300;1,55;0,752;2;053.D;
1658;Tveitelva;Kraftverk;TVEITELVA KRAFTVERK AS;991230580;Vestland;46;Kvinnherad;17;2011-07-11;2011-07-11;3,3;11,4;233,3;1,8;0,521;5;046.421A;
1186;Tveitelvfallet;Kraftverk;EIVIND TVEDT;970371850;Vestland;46;Kvinnherad;17;1997-01-01;1997-01-01;0,1;0,4;;;;2;045.31Z;
