id;efficiency_net;efficiency_gross;efficiency_comment;date;efficiency_source;source_type
BNA0538;;;;;;
BNA0539;;;;;;
BNA0540;;;;;;
BNA0541;;;;;;
BNA0542;;;;;;
BNA0543;;0.84;"Netto: Gesamtwirkungsgrad der Anlage; Brutto: KWK WG";17.11.2015;;
BNA0544;;;;17.11.2015;;
BNA0545;0.58;;;17.11.2015;http://www.rheinenergie.com/media/portale/downloads_4/rheinenergie_1/flyer/Heizkraftwerk-Niehl-II.pdf;A
BNA0546;0.53;0.84;"Netto: Gesamtwirkungsgrad der Anlage; Brutto: KWK WG";17.11.2015;http://www.rheinenergie.com/media/portale/downloads_4/rheinenergie_1/broschueren_1/Vereinfachte_Umwelterklaerung_der_Standorte_Koeln-Merkenich_und_Koeln-Niehl_2011.pdf;A
BNA0547;;;;23.11.2015;;
BNA0548a;;;;23.11.2015;;
BNA0548b;0.592;;;23.11.2015;http://www.siemens.com/press/de/pressemitteilungen/?press=/de/pressemitteilungen/2013/energy/fossil-power-generation/efp201306040.htm&content[]=EF&content[]=EP&content[]=PG;A
BNA0549;;;;;;
BNA0550;;;;;;
BNA0551;;;;;;
BNA0552;;;;;;
BNA0553;;;;;;
BNA0554;;;;;;
BNA0555;;;;;;
BNA0556a;;;;01.12.2015;;
BNA0556b;;;;01.12.2015;;
BNA0557a;;;;;;
BNA0557b;;;;;;
BNA0558;0.75;;;23.11.2015;http://www.statkraft.de/globalassets/old-contains-the-old-folder-structure/documents/de/kraftwerke-in-deutschland/erzhausen_fb_2014_rz3mini.pdf;A
BNA0559;;;;;;
BNA0560;;;;;;
BNA0561;;;;;;
BNA0563;;;;;;
BNA0564;;;;;;
BNA0565;;;;;;
BNA0566;;;;;;
BNA0567a;;;;23.11.2015;;
BNA0567b;;;;23.11.2015;;
BNA0568;;;;;;
BNA0569;;;;;;
BNA0570;;;;;;
BNA0571;;;;;;
BNA0572;;;;;;
BNA0573;;;;;;
BNA0574;0.35;;;23.11.2015;http://www.buerger-fuer-technik.de/KurzInfo355.pdf;B
BNA0575;;;;;;
BNA0576;;;;;;
BNA0577;;;;;;
BNA0578;;;;;;
BNA0579;;;;;;
BNA0580;;;;;;
BNA0582;;;;;;
BNA0583;;;;;;
BNA0584;;;;;;
BNA0585;;;;;;
BNA0588;;;;;;
BNA0589;;;;;;
BNA0590;;;;;;
BNA0591;;;;;;
BNA0592;;;;11.11.2015;;
BNA0593;;;;11.11.2015;;
BNA0594;;;;11.11.2015;;
BNA0595;;;;11.11.2015;;
BNA0596;;;;23.11.2015;;
BNA0597;;;;11.11.2015;;
BNA0598a;;;;11.11.2015;;
BNA0598b;;;;11.11.2015;;
BNA0599;;;;;;
BNA0600a;;;;29.10.2015;;
BNA0600b;;;;;;
BNA0601;;;;;;
BNA0602;0.46;;C1 und C2 zusammen;17.11.2015;http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/;A
BNA0603;0.46;;B1 und B2 zusammen;17.11.2015;http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/;A
BNA0604;0.46;;B1 und B2 zusammen;17.11.2015;http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/;A
BNA0605;0.46;;C1 und C2 zusammen;17.11.2015;http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/;A
BNA0606;0.592;;;17.11.2015;http://www.rwe.com/web/cms/de/1770644/rwe-generation-se/standorte/deutschland/kw-emsland/;A
BNA0607;0.345;;S. 22;11.11.2015;https://www.google.de/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&ved=0CCcQFjACahUKEwiBlMqo1IjJAhWHhiwKHQntBTk&url=http%3A%2F%2Fwww.rwe.com%2Fapp%2FPressecenter%2FDownload.aspx%3Fpmid%3D4003986%26datei%3D1&usg=AFQjCNHNcvsd6A8PhpdUKD9qFsNgSPxURQ&bvm=bv.106923889,d.bGg&cad=rja;A
BNA0608a;;;;;;
BNA0608b;;;;;;
BNA0609;;;;;;
BNA0610;;;;;;
BNA0611;;;;;;
BNA0613;;;;;;
BNA0614a;;;möglicherweise durch verbesserung ebenfalls 43% (s. BNA614b);29.10.2015;http://www.ingenieur.de/Politik-Wirtschaft/Unternehmen/BASF-setzt-autarke-Energieversorgung;B
BNA0614b;0.43;;unsicher ob dieses Kraftwerk gemeint ist;29.10.2015;http://www.ingenieur.de/Politik-Wirtschaft/Unternehmen/BASF-setzt-autarke-Energieversorgung;B
BNA0615;;;;29.10.2015;;
BNA0616a;;;;;;
BNA0616b;;;;;;
BNA0617;;;;;;
BNA0618;0.36;;unsicher ob dieses Kraftwerk gemeint ist;23.11.2015;http://www.trianel-luenen.de/pm/trianel-kohlekraftwerk-luenen-ausgezeichnet-1/;B
BNA0619;0.36;;unsicher ob dieses Kraftwerk gemeint ist;23.11.2015;http://www.trianel-luenen.de/pm/trianel-kohlekraftwerk-luenen-ausgezeichnet-1/;B
BNA0620;;;;;;
BNA0621;;;;;;
BNA0622;;;;;;
BNA0623;;;;;;
BNA0625;;;;;;
BNA0626;0.58;;;17.11.2015;http://www.kmw-ag.de/02_03kraftwerk3.html;A
BNA0627;;;;17.11.2015;;
BNA0628;;;;;;
BNA0629;;;;;;
BNA0635;;;;;;
BNA0636;;;;;;
BNA0637;;;;;;
BNA0640;;;;;;
BNA0641a;;;;;;
BNA0641b;;;;;;
BNA0641c;;;;;;
BNA0644;;;;;;
BNA0645;;;;;;
BNA0646a;;;;;;
